"Wavelength, µm",n,k
5.5632,1.3641,0.000292
5.5872,1.36347,0.000293
5.6114,1.36311,0.000297
5.6358,1.36284,0.000297
5.6604,1.36302,0.000302
5.6852,1.36229,0.0003
5.7103,1.36127,0.000299
5.7355,1.3611,0.000296
5.761,1.36045,0.000296
5.7867,1.35957,0.000299
5.8127,1.35862,0.000298
5.8389,1.35789,0.000296
5.8653,1.35815,0.000296
5.8919,1.35778,0.000297
5.9188,1.35573,0.000298
5.946,1.35404,0.000304
5.9734,1.35385,0.000309
6.0011,1.35358,0.000305
6.029,1.35284,0.0016
6.0571,1.35203,0.00155
6.0856,1.351,0.00208
6.1143,1.35,0.0019
6.1433,1.3488,0.00135
6.1725,1.34723,0.0013
6.202,1.34606,0.00206
6.2319,1.34605,0.00228
6.262,1.34595,0.00158
6.2924,1.3452,0.0016
6.3231,1.34372,0.00186
6.3541,1.34273,0.0021
6.3854,1.34234,0.00176
6.417,1.3411,0.00144
6.4489,1.33891,0.00152
6.4811,1.337,0.00154
6.5137,1.33512,0.0014
6.5466,1.33371,0.00185
6.5798,1.3325,0.00188
6.6134,1.33083,0.00175
6.6473,1.32824,0.0016
6.6816,1.32662,0.00159
6.7162,1.32489,0.00163
6.7512,1.32235,0.00229
6.7865,1.31995,0.00302
6.8223,1.31759,0.00316
6.8583,1.31451,0.00475
6.8948,1.3122,0.00802
6.9317,1.3114,0.00869
6.969,1.30858,0.00782
7.0066,1.30449,0.00906
7.0447,1.30322,0.0139
7.0832,1.30571,0.0184
7.1221,1.30963,0.0181
7.1615,1.31189,0.014
7.2013,1.3084,0.00861
7.2415,1.30095,0.00465
7.2822,1.29452,0.0039
7.3233,1.28974,0.00387
7.3649,1.28464,0.00374
7.407,1.27893,0.00356
7.4496,1.27215,0.00247
7.4926,1.26451,0.00253
7.5362,1.25588,0.0038
7.5803,1.24676,0.0057
7.6249,1.23572,0.00682
7.67,1.22274,0.00781
7.7156,1.20633,0.00963
7.7618,1.18428,0.0148
7.8086,1.13732,0.0302
7.8559,1.0669,0.179
7.9038,1.13149,0.334
7.9523,1.31562,0.331
8.0014,1.42755,0.175
8.0511,1.37931,0.0571
8.1014,1.31645,0.0305
8.1524,1.27762,0.0287
8.204,1.24968,0.0347
8.2562,1.2283,0.0422
8.3091,1.21345,0.0507
8.3628,1.20275,0.0597
8.4171,1.19147,0.067
8.4721,1.17666,0.0703
8.5278,1.15959,0.0741
8.5843,1.14061,0.0807
8.6415,1.11362,0.0899
8.6995,1.07813,0.109
8.7583,1.03538,0.139
8.8179,0.98636,0.182
8.8783,0.93665,0.249
8.9395,0.90189,0.35
9.0016,0.91161,0.487
9.0645,0.9911,0.625
9.1284,1.1293,0.716
9.1931,1.28201,0.736
9.2588,1.40749,0.7
9.3254,1.49129,0.637
9.393,1.54005,0.575
9.4615,1.56597,0.524
9.5311,1.57798,0.488
9.6017,1.58843,0.474
9.6733,1.61404,0.479
9.7461,1.67584,0.487
9.8199,1.77617,0.449
9.8949,1.8519,0.334
9.971,1.84298,0.197
10.048,1.78062,0.109
10.127,1.71731,0.0659
10.207,1.66568,0.044
10.288,1.6234,0.032
10.37,1.58894,0.0255
10.453,1.55986,0.0221
10.538,1.5337,0.02
10.625,1.50932,0.0182
10.713,1.48704,0.0178
10.802,1.46405,0.0199
10.893,1.43983,0.0247
10.985,1.41698,0.0298
11.079,1.39386,0.0355
11.174,1.36267,0.0452
11.272,1.32503,0.065
11.37,1.29663,0.113
11.471,1.3021,0.175
11.573,1.32967,0.204
11.678,1.33658,0.212
11.784,1.33938,0.232
11.892,1.34524,0.231
12.002,1.29807,0.243
12.114,1.24035,0.345
12.229,1.26473,0.491
12.345,1.3861,0.636
12.464,1.61522,0.711
12.585,1.86651,0.602
12.708,1.9626,0.358
12.834,1.89309,0.17
12.962,1.79395,0.0971
13.093,1.73241,0.088
13.227,1.7103,0.0851
13.363,1.69424,0.0613
13.502,1.66425,0.041
13.645,1.63582,0.0361
13.79,1.61199,0.0356
13.938,1.59044,0.0395
14.089,1.57874,0.0524
14.244,1.5791,0.0653
14.403,1.58302,0.0698
14.564,1.58508,0.0655
14.73,1.58381,0.0543
14.899,1.57887,0.0463
15.072,1.57711,0.0427
15.25,1.5735,0.0337
